Comment,Designator,Footprint,LCSC Part Number
STM32F103C8T6,"USBU1,DISU3",LQFP-48_7x7mm_P0.5mm,C8734
1K,"BUTR6,LEDR7,LEDR5,MATR4,MATR2",R_0402_1005Metric,C11702
Crystal_16M_small,"WIRY2,USBY2,DISY1",Crystal_SMD_2016-4Pin_2.0x1.6mm,C252270
USB_C_power_only_connector,BATJ2,USB_C_Receptacle_power_only_6P,C283540
INA180A3,BATU6,SOT-23-5,C122882
4.7pF,WIRC14,C_0402_1005Metric,C1569
USBLC6-2P6,BATIC1,USBLC6-2P6,C2827693
Conn_02x11_Odd_Even,"BEXJ2,BEXJ6",PinHeader_2x11_P2.54mm_Vertical,C2894972
1.5pF,WIRC10,C_0402_1005Metric,C1552
TP4057,BATU8,SOT-23-6,C5380673
TPS61230A,BATU5,TPS61230A,C376005
3.9nH,WIRL3,C_0402_1005Metric,C14033
VL53L3CXV0DH,DISU1,VL53L3CXV0DH,C1864163
150K,BATR10,R_0402_1005Metric,C25755
510K,BATR9,R_0402_1005Metric,C11616
USBLC6-4SC6,"USBIC1,POWIC1",SOT-23-6,C558419
N_MOSFET,"LEDQ3,BUTQ1,BATQ5,MATQ1,SCRQ2",SOT-23,C8545
330R,BATR16,R_0402_1005Metric,C25104
22uF_10V,"WIRC13,MATC8,MATC6,MATC11,MATC15,MATC16,MATC7,MATC13,MATC12",C_0603_1608Metric,C86295
RotaryEncoder_Switch,DIASW7,RotaryEncoderEC12D,C112349
NRF24L01,WIRU4,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,C8791
47uF_16V,LEDC4,C_1210_3225Metric,C77101
100K,"BATR15,BATR14,BATR20",R_0402_1005Metric,C25741
WMM7027ATSN1-4/TR,LIGU4,LGA-4,C2931973
1uH_3.2A,BATL1,L_1008_2520Metric,C315711
ws2812b_1615,BUTD2,WS2812B_1615,C5349954
1pF,WIRC7,C_0402_1005Metric,C1550
TerminalBlock_3P_3.8_black,LEDJ2,TerminalBlock_03_P3.81mm_Horizontal,C881704
8.2nH,WIRL1,C_0402_1005Metric,C16208
10nF,BATC6,C_0402_1005Metric,C15195
33nF,WIRC3,C_0402_1005Metric,C1585
LTR-381RGB,LIGU1,LTR-381RGB,C2944020
2.2uF,MOTC6,C_0402_1005Metric,C12530
0.2R,"MOTR5,MOTR6",R_1210_3225Metric,C52362
01x06_2.54mm_Female,"WIRJ2,DIAJ5,BTSJ2,SERJ3,USBJ3,BUTJ5,BLKJ2,BEXJ3,DISJ2,LIGJ2,BATJ6,MOTJ7,TMPJ2,LEDJ3,MATJ2,SCRJ2,POWJ3,JOYJ3",01x06_2.54mm_Female,C5142239
01x06_2.54mm_Male,"USBJ1,MOTJ5,POWJ1,SERJ1,WIRJ1,DIAJ3,BLKJ1,BEXJ1,LIGJ1,MATJ1,BATJ7,BTSJ1,BUTJ2,JOYJ1,LEDJ1,TMPJ1,SCRJ1,DISJ1",01x06_2.54mm_Male,C5242199
FFC_connector_22p_dual_sided,SCRJ3,FFC_connector_22p_hinge_lock,C557729
10R,SCRR5,R_0402_1005Metric,C25077
