Item #,Designator,Qty,Manufacturer,Mfg Part #,Package/Footprint,LCSC Part Number,Description / Value
24,"MOTU2,BATU2,LIGU2,SPKU2",4,Nanjing Micro One Elec,ME6211C33M5G-N,SOT-23-5,C81233,ME6211C33M5G-N
25,BATC7,1,,,C_0402_1005Metric,C32949,10pF
26,"BATJ5,BATJ8",2,JST,S2B-PH-K-S,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752,ConnBattery_JST_S2B-PH-K-S
28,BATJ2,1,Korean Hroparts Elec,TYPE-C-31-M-17 ,USB_C_Receptacle_power_only_6P,C283540,USB_C_power_only_connector
29,BATU6,1,Texas Instruments,INA180A3IDBVR,SOT-23-5,C122882,INA180A3
30,LIGR11,1,,0402WGF3003TCE,R_0402_1005Metric,C25774,300K
31,BATIC1,1,STMicroelectronics,USBLC6-2P6,USBLC6-2P6,C2827693,USBLC6-2P6
32,BATU8,1,,TP4057,SOT-23-6,C5380673,TP4057
33,BATU5,1,Texas Instruments,TPS61230A,TPS61230A,C376005,TPS61230A
34,LIGU6,1,STMicroelectronics,LIS3DHTR,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,C15134,LIS3DHTR
35,"BATC1,MOTC3,LIGC1,BATC3,BATC12,SPKC15",6,Samsung,CL05B104KO5NNNC,C_0402_1005Metric,C1525,0.1uF
36,BATR10,1,,,R_0402_1005Metric,C25755,150K
37,BATR9,1,,,R_0402_1005Metric,C11616,510K
38,BATR16,1,,0402WGF3300TCE,R_0402_1005Metric,C25104,330R
40,SPKJ2,1,Molex,532610271,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,C2905009,2p_picoblade
41,MOTU4,1,STMicroelectronics,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,C8734,STM32F103C8T6
42,BATU4,1,XySemi,XB7608AJ,XB7608AJ,C2681921,XB7608AJ
43,"BATR12,BATR17,BATR11",3,,,R_0402_1005Metric,C25905,5.1K
45,"BATR15,BATR14,BATR20",3,,,R_0402_1005Metric,C25741,100K
46,BATL1,1,INPAQ,WIP252012P-1R0ML,L_1008_2520Metric,C315711,1uH_3.2A
48,BATR7,1,,,R_0402_1005Metric,C11702,1K
49,BATQ5,1,Changjiang Electronics Tech,2N7002,SOT-23,C8545,N_MOSFET
51,BATU1,1,Texas Instruments,TPS2116DRLR,SOT-583-8,C3235557,TPS2116DRL
52,BATC6,1,,,C_0402_1005Metric,C15195,10nF
53,LIGU1,1,Lite-On,LTR-381RGB-WA,LTR-381RGB,C2944020,LTR-381RGB
54,LIGU5,1,,MCP6001AIDBVRG,SOT-23-5,C5145245,op_amp_mcp6001
55,MOTC6,1,Samsung,CL05A225MQ5NSNC,C_0402_1005Metric,C12530,2.2uF
56,LIGU4,1,,LMA2718T421,SMD-4P-2.8x1.9mm,C5373232,LMA2718T421
57,"MOTR5,MOTR6",2,Uniroyal Elec,1210W2F200LT5E,R_1210_3225Metric,C52362,0.2R
59,"SPKC10,SPKC4",2,Guangdong Fenghua Advanced Tech,0402B221K500NT,C_0402_1005Metric,C1530,220pF
61,"MOTJ5,SPKJ1,BATJ7,LIGJ1",4,,X6511WRS-06H-C60D48,01x06_2.54mm_Male,C5242199,01x06_2.54mm_Male
64,"SPKJ3,BATJ6,MOTJ7,LIGJ2",4,,X6511FRS-06-C85D30,01x06_2.54mm_Female,C5142239,01x06_2.54mm_Female
70,SPKR2,1,,,R_0402_1005Metric,C43291,750K
79,SPKU1,1,,MAX98357AEWL+T,WLP-9_1.448x1.468mm_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm,C2682619,MAX98357AEWL+T
